-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     162.719us         0.01%     162.719us       2.625us           0 B           0 B           0 B           0 B            62            --  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     157.666us         0.01%     157.666us       2.543us           0 B           0 B           0 B           0 B            62            --  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 4, true...         0.00%       0.000us         0.00%       0.000us       0.000us     153.216us         0.01%     153.216us       2.471us           0 B           0 B           0 B           0 B            62            --  
                               _insert_resampled_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     146.211us         0.01%     146.211us       2.478us           0 B           0 B           0 B           0 B            59            --  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     140.580us         0.01%     140.580us       2.267us           0 B           0 B           0 B           0 B            62            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     120.320us         0.00%     120.320us       0.970us           0 B           0 B           0 B           0 B           124            --  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true...         0.00%       0.000us         0.00%       0.000us       0.000us     114.563us         0.00%     114.563us       1.848us           0 B           0 B           0 B           0 B            62            --  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     107.043us         0.00%     107.043us       2.973us           0 B           0 B           0 B           0 B            36            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      97.058us         0.00%      97.058us       1.565us           0 B           0 B           0 B           0 B            62            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      84.099us         0.00%      84.099us       1.356us           0 B           0 B           0 B           0 B            62            --  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      82.946us         0.00%      82.946us       1.338us           0 B           0 B           0 B           0 B            62            --  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      72.037us         0.00%      72.037us       1.162us           0 B           0 B           0 B           0 B            62            --  
                                            aten::fill_         0.14%       3.368ms         0.42%      10.437ms      40.610us      70.274us         0.00%      71.298us       0.277us           0 B           0 B           0 B           0 B           257            --  
