-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us       2.241ms         0.09%       2.241ms       0.961us           0 B           0 B           0 B           0 B          2331  
                                  _gumbel_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.406ms         0.06%       1.406ms      21.970us           0 B           0 B           0 B           0 B            64  
                                            aten::index         0.48%      12.630ms         0.78%      20.634ms     107.469us     651.359us         0.03%     651.359us       3.392us           0 B           0 B     576.00 KB     576.00 KB           192  
                                 _C::fused_add_rms_norm         0.04%       1.019ms         0.07%       1.744ms      24.220us     536.488us         0.02%     536.488us       7.451us           0 B           0 B           0 B           0 B            72  
                                _vllm_fa2_C::varlen_fwd         0.06%       1.508ms         0.11%       2.945ms      81.809us     496.902us         0.02%     496.902us      13.803us           0 B           0 B       1.14 MB           0 B            36  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     496.902us         0.02%     496.902us      13.803us           0 B           0 B           0 B           0 B            36  
                                       _C::silu_and_mul         0.02%     431.012us         0.03%     819.454us      22.763us     429.794us         0.02%     429.794us      11.939us           0 B           0 B           0 B           0 B            36  
                                            aten::copy_         0.33%       8.640ms         0.63%      16.695ms      35.902us     380.921us         0.02%     380.921us       0.819us           0 B           0 B           0 B           0 B           465  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     269.663us         0.01%     269.663us       4.213us           0 B           0 B           0 B           0 B            64  
                                           aten::argmax         0.13%       3.546ms         0.18%       4.745ms      74.141us     236.358us         0.01%     236.358us       3.693us           0 B           0 B      32.00 KB      32.00 KB            64  
